# Alert applicability: the systems each declaration's rule covers.
# Each cell is Y where the declaration applies and . where it does not.
# Generated by test_applicability_matrix.py -- do not edit by hand.
#
# Kinds: class  -- the class applies: displayed, sent, and offered in the catalogue
#        listed -- the class is offered in the settings catalogue, which listed_only_when narrows
#        source -- the source's rule admits this system. Whether it is actually ran also
#                  turns on gates this matrix does not model: post_failover_blackout,
#                  require_stable_peer, the source's schedule, and source locks.
#
# Populations:
#   G    GENERIC     unlicensed            whitebox, unlicensed
#   C0   MINI        unlicensed            Mini, unlicensed
#   C    MINI        licensed              Mini with a MINI-R license
#   A    TRUENAS_HW  unlicensed            iX appliance reading MANUAL, unlicensed (R-series)
#   B    TRUENAS_HW  licensed              iX appliance with a FREENAS-CERTIFIED license
#   Di   GENERIC     licensed              whitebox with a transplanted M50 license
#   HA   TRUENAS_HW  licensed   ha_capable iX appliance with an HA license

DECLARATION                                 KIND    G   C0  C   A   B   Di  HA
APIFailedLogin                              class   Y   Y   Y   Y   Y   Y   Y
APIFailedLogin                              listed  Y   Y   Y   Y   Y   Y   Y
APIFailedLogin                              source  Y   Y   Y   Y   Y   Y   Y
AdminSession                                class   Y   Y   Y   Y   Y   Y   Y
AdminSession                                listed  Y   Y   Y   Y   Y   Y   Y
AdminSession                                source  .   .   .   Y   Y   .   Y
AdminUser                                   source  Y   Y   Y   Y   Y   Y   Y
AdminUserIsOverridden                       class   Y   Y   Y   Y   Y   Y   Y
AdminUserIsOverridden                       listed  Y   Y   Y   Y   Y   Y   Y
AlertSourceRunFailed                        class   Y   Y   Y   Y   Y   Y   Y
AlertSourceRunFailed                        listed  Y   Y   Y   Y   Y   Y   Y
AlertSourceRunFailedOnBackupNode            class   Y   Y   Y   Y   Y   Y   Y
AlertSourceRunFailedOnBackupNode            listed  Y   Y   Y   Y   Y   Y   Y
AllAdminAccountsExpired                     class   Y   Y   Y   Y   Y   Y   Y
AllAdminAccountsExpired                     listed  Y   Y   Y   Y   Y   Y   Y
ApiKeyRevoked                               class   Y   Y   Y   Y   Y   Y   Y
ApiKeyRevoked                               listed  Y   Y   Y   Y   Y   Y   Y
ApiKeyRevoked                               source  Y   Y   Y   Y   Y   Y   Y
AppUpdate                                   class   Y   Y   Y   Y   Y   Y   Y
AppUpdate                                   listed  Y   Y   Y   Y   Y   Y   Y
ApplicationsConfigurationFailed             class   Y   Y   Y   Y   Y   Y   Y
ApplicationsConfigurationFailed             listed  Y   Y   Y   Y   Y   Y   Y
ApplicationsStartFailed                     class   Y   Y   Y   Y   Y   Y   Y
ApplicationsStartFailed                     listed  Y   Y   Y   Y   Y   Y   Y
AuditBackendSetup                           class   Y   Y   Y   Y   Y   Y   Y
AuditBackendSetup                           listed  Y   Y   Y   Y   Y   Y   Y
AuditDatabaseCorrupted                      class   Y   Y   Y   Y   Y   Y   Y
AuditDatabaseCorrupted                      listed  Y   Y   Y   Y   Y   Y   Y
AuditServiceHealth                          class   Y   Y   Y   Y   Y   Y   Y
AuditServiceHealth                          listed  Y   Y   Y   Y   Y   Y   Y
AuditServiceHealth                          source  Y   Y   Y   Y   Y   Y   Y
AutomaticAlertFailed                        class   Y   Y   Y   Y   Y   Y   Y
AutomaticAlertFailed                        listed  Y   Y   Y   Y   Y   Y   Y
BONDInactivePorts                           class   Y   Y   Y   Y   Y   Y   Y
BONDInactivePorts                           listed  Y   Y   Y   Y   Y   Y   Y
BONDMissingPorts                            class   Y   Y   Y   Y   Y   Y   Y
BONDMissingPorts                            listed  Y   Y   Y   Y   Y   Y   Y
BONDNoActivePorts                           class   Y   Y   Y   Y   Y   Y   Y
BONDNoActivePorts                           listed  Y   Y   Y   Y   Y   Y   Y
BondStatus                                  source  Y   Y   Y   Y   Y   Y   Y
BootPoolStatus                              class   Y   Y   Y   Y   Y   Y   Y
BootPoolStatus                              listed  Y   Y   Y   Y   Y   Y   Y
CatalogNotHealthy                           class   Y   Y   Y   Y   Y   Y   Y
CatalogNotHealthy                           listed  Y   Y   Y   Y   Y   Y   Y
CatalogSyncFailed                           class   Y   Y   Y   Y   Y   Y   Y
CatalogSyncFailed                           listed  Y   Y   Y   Y   Y   Y   Y
CertificateChecks                           source  Y   Y   Y   Y   Y   Y   Y
CertificateExpired                          class   Y   Y   Y   Y   Y   Y   Y
CertificateExpired                          listed  Y   Y   Y   Y   Y   Y   Y
CertificateIsExpiring                       class   Y   Y   Y   Y   Y   Y   Y
CertificateIsExpiring                       listed  Y   Y   Y   Y   Y   Y   Y
CertificateIsExpiringSoon                   class   Y   Y   Y   Y   Y   Y   Y
CertificateIsExpiringSoon                   listed  Y   Y   Y   Y   Y   Y   Y
CertificateParsingFailed                    class   Y   Y   Y   Y   Y   Y   Y
CertificateParsingFailed                    listed  Y   Y   Y   Y   Y   Y   Y
CloudBackupTaskFailed                       class   Y   Y   Y   Y   Y   Y   Y
CloudBackupTaskFailed                       listed  Y   Y   Y   Y   Y   Y   Y
CloudProviderRemoved                        class   Y   Y   Y   Y   Y   Y   Y
CloudProviderRemoved                        listed  Y   Y   Y   Y   Y   Y   Y
CloudSyncTaskFailed                         class   Y   Y   Y   Y   Y   Y   Y
CloudSyncTaskFailed                         listed  Y   Y   Y   Y   Y   Y   Y
CoreFilesArePresent                         class   Y   Y   Y   .   .   Y   .
CoreFilesArePresent                         listed  Y   Y   Y   .   .   Y   .
CoreFilesArePresent                         source  Y   Y   Y   .   .   Y   .
CurrentlyRunningVersionDoesNotMatchProfile  class   Y   Y   Y   Y   Y   Y   Y
CurrentlyRunningVersionDoesNotMatchProfile  listed  Y   Y   Y   Y   Y   Y   Y
DeprecatedService                           class   Y   Y   Y   Y   Y   Y   Y
DeprecatedService                           listed  Y   Y   Y   Y   Y   Y   Y
DeprecatedServiceConfiguration              class   Y   Y   Y   Y   Y   Y   Y
DeprecatedServiceConfiguration              listed  Y   Y   Y   Y   Y   Y   Y
DifFormatted                                class   Y   Y   Y   Y   Y   Y   Y
DifFormatted                                listed  Y   Y   Y   Y   Y   Y   Y
DirectoryServiceBind                        class   Y   Y   Y   Y   Y   Y   Y
DirectoryServiceBind                        listed  Y   Y   Y   Y   Y   Y   Y
DirectoryServiceDnsUpdate                   class   Y   Y   Y   Y   Y   Y   Y
DirectoryServiceDnsUpdate                   listed  Y   Y   Y   Y   Y   Y   Y
DirectoryServiceDnsUpdate                   source  Y   Y   Y   Y   Y   Y   Y
DirectoryServiceDomainBind                  source  Y   Y   Y   Y   Y   Y   Y
DiskTemperatureTooHot                       class   Y   Y   Y   Y   Y   Y   Y
DiskTemperatureTooHot                       listed  Y   Y   Y   Y   Y   Y   Y
DiskTemperatureTooHot                       source  Y   Y   Y   Y   Y   Y   Y
DisksAreNotPresentOnActiveNode              class   .   .   .   Y   Y   .   Y
DisksAreNotPresentOnActiveNode              listed  .   .   .   .   .   .   Y
DisksAreNotPresentOnStandbyNode             class   .   .   .   Y   Y   .   Y
DisksAreNotPresentOnStandbyNode             listed  .   .   .   .   .   .   Y
EnclosureHealthy                            class   .   .   .   Y   Y   .   Y
EnclosureHealthy                            listed  .   .   .   Y   Y   .   Y
EnclosureStatus                             source  .   .   .   Y   Y   .   Y
EnclosureUnhealthy                          class   .   .   .   Y   Y   .   Y
EnclosureUnhealthy                          listed  .   .   .   Y   Y   .   Y
EncryptedDataset                            class   Y   Y   Y   Y   Y   Y   Y
EncryptedDataset                            listed  Y   Y   Y   Y   Y   Y   Y
FCHardwareAdded                             class   Y   Y   Y   Y   Y   Y   Y
FCHardwareAdded                             listed  Y   Y   Y   Y   Y   Y   Y
FCHardwareReplaced                          class   Y   Y   Y   Y   Y   Y   Y
FCHardwareReplaced                          listed  Y   Y   Y   Y   Y   Y   Y
FIPSMisconfiguration                        class   Y   Y   Y   Y   Y   Y   Y
FIPSMisconfiguration                        listed  Y   Y   Y   Y   Y   Y   Y
FIPSProvider                                source  .   .   Y   Y   Y   Y   Y
Failover                                    source  .   .   .   .   .   .   Y
FailoverCritical                            source  .   .   .   .   .   .   Y
FailoverDisks                               source  .   .   .   .   .   .   Y
FailoverFailed                              class   .   .   .   Y   Y   .   Y
FailoverFailed                              listed  .   .   .   .   .   .   Y
FailoverInterfaceNotFound                   class   .   .   .   Y   Y   .   Y
FailoverInterfaceNotFound                   listed  .   .   .   .   .   .   Y
FailoverKMIPKeysSyncFailed                  class   .   .   .   Y   Y   .   Y
FailoverKMIPKeysSyncFailed                  listed  .   .   .   .   .   .   Y
FailoverKeysSyncFailed                      class   .   .   .   Y   Y   .   Y
FailoverKeysSyncFailed                      listed  .   .   .   .   .   .   Y
FailoverNetworkCards                        source  .   .   .   .   .   .   Y
FailoverReboot                              class   .   .   .   .   .   .   Y
FailoverReboot                              listed  .   .   .   .   .   .   Y
FailoverRemoteSystemInaccessible            class   .   .   .   Y   Y   .   Y
FailoverRemoteSystemInaccessible            listed  .   .   .   .   .   .   Y
FailoverRemoteSystemInaccessible            source  .   .   .   .   .   .   Y
FailoverStatusCheckFailed                   class   .   .   .   Y   Y   .   Y
FailoverStatusCheckFailed                   listed  .   .   .   .   .   .   Y
FailoverSyncFailed                          class   .   .   .   Y   Y   .   Y
FailoverSyncFailed                          listed  .   .   .   .   .   .   Y
FailuresInAppMigration                      class   Y   Y   Y   Y   Y   Y   Y
FailuresInAppMigration                      listed  Y   Y   Y   Y   Y   Y   Y
FencedReboot                                class   .   .   .   .   .   .   Y
FencedReboot                                listed  .   .   .   .   .   .   Y
GMailConfigurationDiscarded                 class   Y   Y   Y   Y   Y   Y   Y
GMailConfigurationDiscarded                 listed  Y   Y   Y   Y   Y   Y   Y
HasUpdate                                   class   Y   Y   Y   Y   Y   Y   Y
HasUpdate                                   listed  Y   Y   Y   Y   Y   Y   Y
HasUpdate                                   source  Y   Y   Y   Y   Y   Y   Y
IPMISEL                                     class   Y   Y   Y   Y   Y   Y   Y
IPMISEL                                     listed  Y   Y   Y   Y   Y   Y   Y
IPMISEL                                     source  Y   Y   Y   Y   Y   Y   Y
IPMISELSpaceLeft                            class   Y   Y   Y   Y   Y   Y   Y
IPMISELSpaceLeft                            listed  Y   Y   Y   Y   Y   Y   Y
ISCSIAuthSecret                             source  Y   Y   Y   Y   Y   Y   Y
ISCSIAuthSecretInvalidChar                  class   Y   Y   Y   Y   Y   Y   Y
ISCSIAuthSecretInvalidChar                  listed  Y   Y   Y   Y   Y   Y   Y
ISCSIAuthSecretWhitespace                   class   Y   Y   Y   Y   Y   Y   Y
ISCSIAuthSecretWhitespace                   listed  Y   Y   Y   Y   Y   Y   Y
ISCSIDiscoveryAuthMixed                     class   Y   Y   Y   Y   Y   Y   Y
ISCSIDiscoveryAuthMixed                     listed  Y   Y   Y   Y   Y   Y   Y
ISCSIDiscoveryAuthMultipleCHAP              class   Y   Y   Y   Y   Y   Y   Y
ISCSIDiscoveryAuthMultipleCHAP              listed  Y   Y   Y   Y   Y   Y   Y
